,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
159,Louisiana State,5,4,1,.800,21.26,-1.74,,0,0,,3,0,,0,1,,445,330,,200,147,286,.514,50,130,.385,101,127,.795,47,200,68,42,11,62,89
160,Louisiana Tech,8,6,2,.750,-2.37,-10.37,,0,0,,6,0,,0,2,,605,541,,320,215,494,.435,65,178,.365,110,166,.663,89,312,101,53,20,100,131
161,Louisville,5,4,1,.800,11.87,3.47,,0,0,,4,0,,0,1,,359,317,,200,127,259,.490,27,79,.342,78,104,.750,41,182,68,21,11,63,94
162,Loyola (IL),5,3,2,.600,7.28,-0.72,,0,0,,2,1,,1,1,,377,317,,200,137,273,.502,44,115,.383,59,91,.648,34,173,89,22,9,65,85
163,Loyola Marymount,8,5,3,.625,3.34,-0.28,,0,0,,5,0,,0,3,,573,544,,320,195,445,.438,52,167,.311,131,189,.693,88,302,104,38,21,128,163
164,Loyola (MD),0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
165,Maine,2,0,2,.000,-15.01,-6.01,,0,2,,0,0,,0,2,,110,128,,80,39,96,.406,16,49,.327,16,31,.516,16,56,29,14,11,33,35
166,Manhattan,4,1,3,.250,-21.58,-12.83,,1,3,,1,3,,0,0,,257,292,,165,86,221,.389,26,97,.268,59,79,.747,45,121,42,29,14,66,84
167,Marist,6,5,1,.833,-11.76,-16.59,,3,1,,1,0,,4,1,,393,364,,250,135,312,.433,32,102,.314,91,117,.778,50,216,53,41,18,105,108
168,Marquette,9,5,4,.556,12.61,5.84,,1,2,,4,2,,1,2,,685,624,,360,230,502,.458,73,189,.386,152,204,.745,102,356,128,47,39,129,173
169,Marshall,6,5,1,.833,10.36,0.19,,0,0,,3,1,,2,0,,487,426,,245,177,372,.476,50,152,.329,83,107,.776,53,230,95,56,39,92,103
170,Maryland-Baltimore County,7,6,1,.857,4.21,-3.79,,2,0,,2,0,,4,1,,506,450,,280,177,383,.462,46,140,.329,106,156,.679,63,270,94,42,20,112,124
171,Maryland-Eastern Shore,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
172,Maryland,6,4,2,.667,20.92,9.42,,0,1,,4,1,,0,1,,447,378,,240,158,320,.494,44,118,.373,87,121,.719,53,223,89,31,27,74,94
173,Massachusetts-Lowell,4,1,3,.250,-3.68,7.07,,0,0,,0,0,,0,1,,271,314,,160,89,209,.426,24,80,.300,69,105,.657,36,142,47,18,13,64,85
174,Massachusetts,3,2,1,.667,14.73,4.40,,1,0,,1,0,,1,1,,254,223,,120,89,190,.468,27,71,.380,49,71,.690,29,104,43,22,6,35,58
175,McNeese State,7,4,3,.571,-29.74,-7.40,,0,1,,4,0,,0,3,,656,467,,280,247,477,.518,71,180,.394,91,141,.645,89,305,151,73,18,108,131
176,Memphis,8,5,3,.625,7.95,-2.80,,1,0,,3,0,,1,0,,614,528,,320,224,535,.419,57,183,.311,109,170,.641,114,340,132,74,43,115,165
177,Mercer,7,6,1,.857,9.89,4.39,,0,0,,4,0,,2,1,,590,500,,280,215,436,.493,73,182,.401,87,130,.669,75,291,136,47,28,101,111
178,Merrimack,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
179,Miami (FL),6,4,2,.667,2.60,-3.06,,0,1,,4,2,,0,0,,407,373,,240,142,341,.416,28,119,.235,95,144,.660,69,250,72,41,32,83,86
