,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
252,Providence,7,5,2,.714,7.48,3.48,,1,0,,2,0,,2,0,,527,499,,285,190,409,.465,34,121,.281,113,156,.724,80,243,96,48,23,73,129
253,Purdue,8,6,2,.750,14.10,4.47,,1,0,,4,0,,0,1,,597,520,,320,217,457,.475,71,183,.388,92,129,.713,88,297,140,43,22,114,142
254,Quinnipiac,4,2,2,.500,-5.48,-3.98,,0,0,,2,0,,0,0,,254,260,,160,90,216,.417,24,77,.312,50,66,.758,33,146,51,16,25,65,86
255,Radford,8,3,5,.375,-5.52,-0.09,,2,0,,3,0,,0,4,,502,492,,320,175,414,.423,42,152,.276,110,168,.655,89,296,86,51,17,121,123
256,Rhode Island,8,3,5,.375,8.97,7.97,,0,1,,1,1,,0,2,,581,573,,320,197,433,.455,44,139,.317,143,210,.681,57,277,80,63,36,104,178
257,Rice,7,5,2,.714,-5.46,-10.26,,0,0,,2,1,,2,1,,571,488,,280,206,464,.444,76,220,.345,83,122,.680,85,295,118,47,11,103,102
258,Richmond,7,6,1,.857,9.39,3.39,,0,0,,2,0,,3,1,,537,495,,280,201,407,.494,48,141,.340,87,125,.696,45,225,99,64,14,88,111
259,Rider,6,1,5,.167,-13.90,-5.23,,1,3,,0,2,,1,3,,410,462,,240,144,334,.431,35,101,.347,87,117,.744,54,193,78,34,12,81,118
260,Robert Morris,3,1,2,.333,-9.27,7.73,,0,0,,1,1,,0,1,,211,227,,120,83,189,.439,18,53,.340,27,41,.659,33,106,43,29,15,49,45
261,Rutgers,6,6,0,1.000,23.31,9.14,,2,0,,5,0,,1,0,,496,411,,240,187,366,.511,38,104,.365,84,139,.604,71,252,107,49,35,73,94
262,Sacramento State,3,3,0,1.000,-2.10,-21.10,,2,0,,3,0,,0,0,,251,169,,120,94,182,.516,23,61,.377,40,56,.714,40,124,49,26,9,36,51
263,Sacred Heart,3,1,2,.333,0.30,9.64,,1,1,,1,1,,0,1,,205,233,,120,69,191,.361,27,82,.329,40,56,.714,40,119,40,19,10,48,61
264,Saint Francis (PA),5,1,4,.200,-2.56,10.24,,0,1,,0,1,,1,3,,315,379,,200,112,276,.406,31,96,.323,60,88,.682,41,150,54,30,4,59,82
265,Saint Joseph's,4,0,4,.000,-1.01,11.74,,0,0,,0,0,,0,2,,308,359,,165,107,261,.410,39,133,.293,55,74,.743,36,130,59,22,8,55,91
266,Saint Louis,7,6,1,.857,23.43,3.57,,0,0,,6,0,,0,1,,609,470,,280,228,445,.512,52,127,.409,101,136,.743,87,272,140,64,20,91,134
267,Saint Mary's (CA),9,8,1,.889,8.14,-3.53,,0,0,,6,0,,0,0,,651,546,,360,241,523,.461,73,212,.344,96,129,.744,82,341,113,58,36,99,141
268,Saint Peter's,8,5,3,.625,1.15,-0.22,,3,1,,3,0,,1,3,,553,542,,320,200,481,.416,65,177,.367,88,136,.647,96,301,120,70,39,119,182
269,Sam Houston State,9,4,5,.444,-5.56,14.11,,0,0,,4,0,,0,4,,726,664,,360,261,571,.457,75,219,.342,129,203,.635,98,324,151,83,24,142,178
270,Samford,6,3,3,.500,-4.40,-4.60,,0,0,,1,1,,2,2,,481,455,,240,180,398,.452,49,153,.320,72,104,.692,69,246,93,32,13,92,142
271,San Diego State,6,5,1,.833,13.06,4.86,,0,0,,4,1,,1,0,,440,357,,240,148,344,.430,52,153,.340,92,127,.724,60,213,82,58,14,69,109
272,San Diego,4,1,3,.250,-18.57,-4.32,,0,0,,0,1,,1,2,,251,308,,160,88,231,.381,27,76,.355,48,65,.738,31,128,52,27,20,54,64
273,San Francisco,10,6,4,.600,6.89,-1.11,,0,0,,1,0,,2,2,,761,681,,400,268,608,.441,117,312,.375,108,153,.706,96,364,138,67,35,123,209
274,San Jose State,3,1,2,.333,-26.04,-6.54,,0,0,,1,0,,0,2,,219,250,,120,75,189,.397,25,71,.352,44,66,.667,29,112,33,12,12,42,56
275,Santa Clara,6,6,0,1.000,-7.69,-16.69,,0,0,,5,0,,1,0,,418,350,,240,146,345,.423,28,103,.272,98,151,.649,64,254,77,35,32,72,106
276,Seattle,9,5,4,.556,-16.04,-8.71,,0,0,,2,0,,1,3,,624,571,,360,234,560,.418,67,240,.279,89,132,.674,84,300,114,59,36,96,161
277,Seton Hall,9,5,4,.556,12.27,7.05,,2,1,,3,1,,2,2,,689,642,,370,231,505,.457,66,183,.361,161,224,.719,86,314,124,62,36,121,147
278,Siena,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
279,South Alabama,9,6,3,.667,-8.64,-6.04,,0,0,,5,1,,1,2,,752,671,,370,257,515,.499,79,200,.395,159,229,.694,75,302,104,88,21,106,139
280,South Carolina State,9,0,9,.000,-22.26,0.41,,0,0,,0,2,,0,7,,502,706,,360,187,525,.356,61,204,.299,67,105,.638,77,272,90,57,25,149,160
281,South Carolina Upstate,7,0,7,.000,-14.30,3.03,,0,2,,0,5,,0,2,,493,607,,280,171,413,.414,61,165,.370,90,127,.709,57,219,97,44,19,115,141
282,South Carolina,3,1,2,.333,7.82,12.82,,0,0,,0,0,,0,1,,198,213,,120,71,163,.436,18,57,.316,38,61,.623,30,102,33,22,6,56,59
283,South Dakota State,8,5,3,.625,3.62,2.24,,0,0,,0,0,,2,0,,601,590,,320,210,458,.459,74,187,.396,107,143,.748,54,268,100,38,25,100,124
284,South Dakota,7,1,6,.143,-1.98,6.88,,0,0,,0,1,,0,1,,469,531,,280,167,406,.411,44,138,.319,91,125,.728,54,224,94,26,22,79,135
285,South Florida,7,5,2,.714,2.85,2.69,,1,0,,3,0,,1,0,,501,490,,280,191,421,.454,42,117,.359,77,129,.597,84,272,86,42,22,97,128
286,Southeast Missouri State,6,2,4,.333,-10.38,-8.88,,0,1,,1,2,,0,2,,436,445,,255,152,338,.450,49,128,.383,83,134,.619,63,226,86,39,19,85,126
287,Southeastern Louisiana,7,1,6,.143,-15.71,2.00,,0,0,,0,0,,1,6,,433,557,,285,149,406,.367,40,165,.242,95,163,.583,90,235,71,36,14,123,153
288,Southern California,5,4,1,.800,20.86,4.86,,0,0,,3,0,,0,0,,399,319,,205,143,287,.498,32,90,.356,81,134,.604,61,214,74,18,28,63,82
289,SIU Edwardsville,7,3,4,.429,-8.49,-0.16,,1,0,,0,1,,2,2,,476,491,,280,177,380,.466,50,135,.370,72,109,.661,48,230,96,52,43,120,133
290,Southern Illinois,5,5,0,1.000,5.54,-5.71,,0,0,,4,0,,1,0,,406,320,,205,139,280,.496,44,101,.436,84,107,.785,27,180,85,35,18,60,72
291,Southern Methodist,5,5,0,1.000,17.42,-4.78,,1,0,,4,0,,1,0,,426,315,,200,149,314,.475,44,116,.379,84,105,.800,62,207,93,42,23,73,78
292,Southern Mississippi,6,3,3,.500,-16.86,-12.86,,0,0,,2,1,,1,2,,370,363,,240,140,343,.408,45,133,.338,45,83,.542,75,226,78,38,8,94,97
293,Southern Utah,6,5,1,.833,1.94,-1.46,,2,0,,4,0,,1,1,,483,418,,240,165,358,.461,57,161,.354,96,143,.671,69,226,97,37,21,70,109
294,Southern,4,0,4,.000,-13.36,14.40,,0,0,,0,0,,0,3,,244,355,,165,91,257,.354,16,72,.222,46,63,.730,47,160,45,22,9,69,98
295,St. Bonaventure,2,2,0,1.000,7.89,0.39,,0,0,,1,0,,0,0,,158,143,,80,60,132,.455,8,30,.267,30,41,.732,24,84,34,12,6,21,35
296,St. Francis (NY),4,2,2,.500,-14.27,-6.52,,2,2,,1,1,,1,1,,325,356,,160,120,269,.446,26,84,.310,59,88,.670,49,157,65,30,15,56,81
297,St. John's (NY),10,6,4,.600,5.25,2.95,,1,3,,5,1,,0,2,,826,803,,405,304,658,.462,66,198,.333,152,205,.741,116,363,180,106,36,133,188
298,Stanford,6,4,2,.667,11.89,4.56,,1,0,,1,0,,2,0,,446,402,,240,158,342,.462,37,109,.339,93,129,.721,58,221,80,46,27,91,108
299,Stephen F. Austin,5,3,2,.600,-17.95,-7.28,,1,0,,3,0,,0,2,,392,361,,200,147,282,.521,24,73,.329,74,116,.638,49,178,79,48,13,99,106
300,Stetson,6,2,4,.333,-15.11,2.39,,0,0,,2,1,,0,3,,396,425,,240,139,347,.401,53,152,.349,65,102,.637,64,220,84,33,22,96,105
301,Stony Brook,8,4,4,.500,-10.80,-7.37,,2,0,,2,0,,2,4,,581,561,,330,211,470,.449,50,146,.342,109,173,.630,86,308,115,50,43,131,124
302,Syracuse,7,6,1,.857,18.49,2.63,,1,0,,5,0,,1,1,,586,475,,285,200,441,.454,58,181,.320,128,165,.776,78,288,128,67,28,95,99
303,Tarleton State,4,2,2,.500,-9.37,4.63,,0,0,,2,0,,0,2,,301,233,,160,108,222,.486,19,59,.322,66,110,.600,41,156,60,56,20,74,92
304,Temple,1,1,0,1.000,0.00,-12.00,,0,0,,1,0,,0,0,,72,60,,40,22,55,.400,6,20,.300,22,30,.733,15,50,16,5,5,16,19
305,Tennessee-Martin,4,3,1,.750,-14.44,-11.10,,1,0,,2,1,,1,0,,320,295,,170,104,242,.430,32,83,.386,80,106,.755,41,149,52,29,19,47,79
306,Tennessee State,4,1,3,.250,-25.71,-11.37,,0,2,,1,1,,0,2,,283,304,,160,107,255,.420,22,93,.237,47,73,.644,47,153,52,33,12,69,95
307,Tennessee Tech,8,0,8,.000,-13.30,7.08,,0,2,,0,2,,0,6,,467,630,,325,177,450,.393,46,179,.257,67,106,.632,72,276,94,44,20,142,146
308,Tennessee,4,4,0,1.000,32.39,4.14,,0,0,,4,0,,0,0,,303,190,,160,113,251,.450,24,68,.353,53,68,.779,55,167,61,37,18,39,51
309,Texas A&M-Corpus Christi,8,2,6,.250,-14.34,-0.84,,0,0,,2,2,,0,3,,506,549,,320,170,412,.413,46,156,.295,120,170,.706,72,281,106,53,27,146,163
310,Texas A&M,5,4,1,.800,-0.11,-9.71,,0,0,,4,0,,0,0,,360,312,,200,115,245,.469,34,101,.337,96,133,.722,50,171,70,40,10,92,94
311,Texas-Arlington,7,3,4,.429,-2.29,3.72,,0,0,,2,1,,0,3,,543,487,,280,195,455,.429,58,170,.341,95,141,.674,87,292,99,66,23,92,118
312,Texas Christian,8,6,2,.750,7.03,1.41,,1,1,,2,2,,1,0,,567,522,,320,209,444,.471,63,176,.358,86,133,.647,77,283,117,50,37,109,126
313,Texas-El Paso,6,4,2,.667,5.07,7.41,,0,0,,3,0,,1,2,,461,410,,240,176,390,.451,45,136,.331,64,85,.753,51,235,85,50,18,72,96
314,Texas-Rio Grande Valley,7,5,2,.714,-12.46,-7.46,,0,0,,4,0,,1,2,,514,478,,280,172,437,.394,48,155,.310,122,191,.639,104,292,107,66,25,95,148
315,Texas-San Antonio,6,3,3,.500,-25.82,-3.15,,0,0,,3,0,,0,3,,481,462,,240,179,422,.424,44,158,.278,79,102,.775,94,270,88,40,25,90,121
316,Texas Southern,6,2,4,.333,-5.92,4.28,,0,0,,1,0,,1,4,,429,437,,240,166,370,.449,25,87,.287,72,109,.661,66,233,73,42,18,87,112
317,Texas State,8,5,3,.625,-8.21,-6.37,,0,0,,3,1,,2,2,,528,503,,320,200,452,.442,36,112,.321,92,139,.662,80,277,96,60,32,111,145
318,Texas Tech,8,6,2,.750,18.87,-1.76,,0,1,,5,1,,0,0,,584,419,,320,195,454,.430,50,147,.340,144,215,.670,107,300,115,65,34,92,135
319,Texas,8,7,1,.875,17.33,5.08,,1,0,,4,1,,0,0,,598,500,,320,205,463,.443,64,195,.328,124,172,.721,94,321,105,50,33,109,182
320,Toledo,9,6,3,.667,6.73,0.28,,1,0,,3,0,,2,2,,675,617,,365,223,545,.409,92,240,.383,137,176,.778,109,347,141,52,15,106,139
321,Towson,3,0,3,.000,-7.28,11.06,,0,0,,0,0,,0,0,,187,242,,120,65,173,.376,15,51,.294,42,59,.712,40,108,23,13,7,37,46
322,Troy,8,4,4,.500,-12.52,1.77,,0,0,,2,0,,1,3,,460,543,,320,148,438,.338,36,162,.222,128,189,.677,89,294,70,48,28,126,151
323,Tulane,6,5,1,.833,-4.34,-12.34,,0,1,,5,1,,0,0,,410,362,,240,137,341,.402,48,156,.308,88,114,.772,56,210,80,43,24,73,106
324,Tulsa,5,2,3,.400,5.53,1.13,,0,1,,2,1,,0,0,,349,327,,200,133,286,.465,33,109,.303,50,86,.581,58,185,73,35,10,75,78
325,UCLA,7,5,2,.714,10.21,0.35,,1,0,,4,0,,0,1,,541,472,,295,188,407,.462,47,134,.351,118,167,.707,74,265,112,34,20,74,121
326,Utah State,6,3,3,.500,0.23,4.03,,0,0,,2,1,,0,0,,427,420,,240,148,348,.425,27,89,.303,104,141,.738,70,229,74,42,18,82,84
327,Utah Valley,6,2,4,.333,-8.23,3.02,,0,0,,2,2,,0,2,,465,477,,240,174,359,.485,33,101,.327,84,128,.656,59,217,125,32,25,84,127
328,Utah,5,4,1,.800,3.24,-8.36,,1,0,,4,0,,0,1,,369,311,,200,134,309,.434,35,101,.347,66,91,.725,52,171,84,48,17,55,79
329,Valparaiso,8,3,5,.375,-4.29,0.04,,0,0,,3,0,,0,5,,572,540,,320,206,465,.443,53,195,.272,107,143,.748,60,272,112,71,30,114,158
330,Vanderbilt,4,3,1,.750,1.94,-9.81,,0,0,,3,1,,0,0,,287,240,,160,99,240,.413,32,110,.291,57,69,.826,55,167,54,30,9,56,51
331,Vermont,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
332,Villanova,8,7,1,.875,17.69,5.19,,2,0,,2,0,,2,0,,636,536,,325,228,481,.474,80,215,.372,100,136,.735,77,287,119,29,15,67,134
333,Virginia Commonwealth,8,6,2,.750,19.21,4.96,,0,0,,4,0,,0,1,,615,501,,320,217,449,.483,60,171,.351,121,158,.766,62,270,119,88,42,118,156
334,VMI,8,5,3,.625,0.79,2.99,,0,0,,5,0,,0,3,,658,573,,320,235,491,.479,94,246,.382,94,117,.803,74,320,144,54,21,120,118
335,Virginia Tech,7,6,1,.857,16.73,6.16,,1,0,,4,1,,0,0,,516,442,,285,172,383,.449,61,164,.372,111,155,.716,73,261,91,20,22,95,121
336,Virginia,4,3,1,.750,19.29,2.79,,0,0,,2,0,,0,0,,296,230,,165,107,216,.495,30,81,.370,52,64,.813,27,140,54,21,18,35,54
337,Wagner,3,0,3,.000,-13.61,3.39,,0,2,,0,0,,0,3,,182,233,,120,71,198,.359,14,67,.209,26,41,.634,51,116,31,25,5,42,77
338,Wake Forest,2,2,0,1.000,17.96,-17.54,,0,0,,2,0,,0,0,,182,111,,80,60,115,.522,20,51,.392,42,54,.778,19,70,30,30,5,27,37
339,Washington State,6,6,0,1.000,-2.05,-10.55,,1,0,,6,0,,0,0,,398,347,,240,132,331,.399,41,128,.320,93,134,.694,54,244,70,38,25,85,107
340,Washington,7,1,6,.143,-1.15,8.14,,0,2,,1,2,,0,1,,427,492,,280,164,412,.398,35,138,.254,64,91,.703,65,230,67,47,35,96,125
341,Weber State,5,3,2,.600,-1.21,-6.21,,1,1,,2,0,,1,2,,398,343,,200,129,282,.457,37,105,.352,103,129,.798,37,171,78,45,18,78,92
342,West Virginia,8,7,1,.875,17.82,9.94,,1,0,,3,0,,1,0,,608,545,,320,212,505,.420,44,134,.328,140,195,.718,116,327,113,51,23,95,128
343,Western Carolina,9,7,2,.778,-2.52,-3.95,,0,0,,3,0,,3,1,,756,701,,380,259,545,.475,81,230,.352,157,219,.717,82,333,129,50,31,134,158
344,Western Illinois,6,2,4,.333,-10.19,-1.59,,0,0,,0,1,,1,3,,437,455,,240,164,401,.409,46,148,.311,63,110,.573,88,254,81,36,26,84,123
345,Western Kentucky,8,6,2,.750,4.51,2.14,,0,0,,3,0,,1,1,,609,590,,320,218,487,.448,43,143,.301,130,171,.760,98,310,108,59,38,107,129
346,Western Michigan,6,2,4,.333,-5.42,-0.42,,1,0,,2,2,,0,2,,381,386,,240,145,329,.441,38,105,.362,53,88,.602,52,213,70,24,19,84,100
347,Wichita State,5,3,2,.600,9.86,10.86,,1,0,,2,2,,1,0,,353,341,,200,122,324,.377,39,128,.305,70,104,.673,77,205,57,31,21,52,78
348,William & Mary,4,2,2,.500,-9.57,-6.57,,0,0,,0,1,,2,1,,287,299,,165,101,224,.451,31,86,.360,54,80,.675,38,130,50,23,17,58,69
349,Winthrop,5,5,0,1.000,10.94,-4.46,,2,0,,1,0,,2,0,,444,367,,200,161,322,.500,48,121,.397,74,121,.612,58,197,90,47,8,66,93
350,Wisconsin,7,6,1,.857,21.34,0.77,,0,0,,6,0,,0,1,,551,407,,280,186,399,.466,66,151,.437,113,151,.748,57,248,104,42,39,57,124
351,Wofford,5,3,2,.600,4.65,3.32,,0,0,,3,0,,0,1,,415,298,,200,150,302,.497,54,153,.353,61,95,.642,66,210,81,40,9,65,78
352,Wright State,5,4,1,.800,14.25,1.85,,2,0,,1,1,,3,0,,398,336,,200,151,296,.510,34,95,.358,62,96,.646,44,210,78,31,22,73,79
353,Wyoming,7,6,1,.857,-3.82,-15.10,,0,0,,4,1,,2,0,,599,520,,285,207,433,.478,73,190,.384,112,161,.696,67,261,109,44,21,72,135
354,Xavier,8,8,0,1.000,16.64,1.27,,1,0,,7,0,,1,0,,673,550,,325,247,482,.512,76,183,.415,103,142,.725,74,309,166,62,44,95,118
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
356,Youngstown State,5,4,1,.800,-4.65,-7.65,,1,1,,2,0,,2,1,,365,322,,200,125,308,.406,31,113,.274,84,120,.700,77,180,54,40,6,49,75
