,Date,visitor_neutral,PTS,home_neutral,PTS
15,2020-11-26,New Orleans,61,BYU,86
16,2020-11-26,North Carolina Central,85,Southern,78
17,2020-11-26,Northern Iowa,64,Saint Mary's,66
18,2020-11-26,Northwest University,61,California,86
19,2020-11-26,Ohio,84,North Carolina A&T,72
20,2020-11-26,Purdue,70,Clemson,81
21,2020-11-26,Queens (NC),65,George Mason,66
22,2020-11-26,SIU-Edwardsville,81,LSU,94
23,2020-11-26,Toledo,80,Oakland,53
24,2020-11-26,Towson,68,San Francisco,79
25,2020-11-26,Utah State,59,South Dakota State,83
26,2020-11-26,Western Kentucky,75,Memphis,69
0,2020-11-27,Gonzaga,90,Auburn,67
1,2020-11-27,Virginia,60,San Francisco,61
2,2020-11-27,Southern,76,Iowa,103
3,2020-11-27,Kansas,94,St. Joseph's,72
4,2020-11-27,Arkansas-Pine Bluff,58,Wisconsin,92
5,2020-11-27,Ohio,75,Illinois,77
6,2020-11-27,Sam Houston State,52,Texas Tech,84
7,2020-11-27,Western Kentucky,64,West Virginia,70
8,2020-11-27,Boise State,58,Houston,68
9,2020-11-27,UCLA,107,Pepperdine,98
10,2020-11-27,Fairleigh Dickinson,75,Rutgers,96
11,2020-11-27,Abilene Christian,80,Austin Peay,72
12,2020-11-27,Arkansas State,56,Marshall,70
13,2020-11-27,Bethesda University (CA),46,Cal Poly,100
14,2020-11-27,Bradley,74,Oakland,60
15,2020-11-27,Bryant,84,Syracuse,85
16,2020-11-27,UC-Davis,63,Santa Clara,66
17,2020-11-27,UC-Irvine,58,San Diego State,77
18,2020-11-27,Carver College,23,Appalachian State,105
19,2020-11-27,Central Connecticut,57,Army,79
20,2020-11-27,Charleston Southern,50,Eastern Kentucky,60
21,2020-11-27,Chicago State,44,North Carolina A&T,74
22,2020-11-27,Colorado,76,Kansas State,58
23,2020-11-27,East Carolina,66,Charlotte,57
24,2020-11-27,Eastern Illinois,50,Marquette,75
25,2020-11-27,Evansville,61,Prairie View,64
26,2020-11-27,Flagler,75,Florida International,82
27,2020-11-27,Florida Atlantic,50,Jacksonville State,60
28,2020-11-27,George Mason,67,Belmont,77
29,2020-11-27,Grambling,55,Arizona,74
30,2020-11-27,Greenville,97,UMKC,138
31,2020-11-27,Hartford,57,UConn,69
32,2020-11-27,Howard,71,Queens (NC),85
33,2020-11-27,La Salle,51,St. Peter's,62
34,2020-11-27,Lamar,57,Tulane,66
35,2020-11-27,Longwood,60,Wake Forest,71
36,2020-11-27,Mercer,83,Georgia Tech,73
37,2020-11-27,Middle Tennessee,43,ETSU,57
38,2020-11-27,Mobile,75,South Alabama,95
39,2020-11-27,Navy,52,Maryland,82
40,2020-11-27,Nicholls State,70,Idaho State,51
41,2020-11-27,Norfolk State,83,James Madison,73
42,2020-11-27,UNC Greensboro,77,Little Rock,70
43,2020-11-27,UNC Wilmington,76,UNC Asheville,68
44,2020-11-27,North Florida,51,NC State,86
45,2020-11-27,Northwest University,42,Oregon State,114
46,2020-11-27,Rice,68,Incarnate Word,53
47,2020-11-27,Richmond,82,Morehead State,64
48,2020-11-27,Seattle,77,William Jessup,53
49,2020-11-27,Seton Hall,70,Louisville,71
50,2020-11-27,South Dakota,53,Drake,69
51,2020-11-27,South Dakota State,59,Saint Mary's,72
52,2020-11-27,Texas-Arlington,71,Louisiana Tech,76
53,2020-11-27,Texas-Permian Basin,71,UTSA,97
54,2020-11-27,Toccoa Falls,60,Georgia State,105
55,2020-11-27,Toledo,73,Xavier,76
56,2020-11-27,Towson,65,Buffalo,74
57,2020-11-27,Troy,66,Western Carolina,64
58,2020-11-27,Utah State,82,Northern Iowa,71
59,2020-11-27,Valparaiso,71,Vanderbilt,77
60,2020-11-27,VCU,70,Memphis,59
0,2020-11-28,Louisiana,82,Baylor,112
1,2020-11-28,Virginia Tech,81,Villanova,73
2,2020-11-28,Coppin State,71,Duke,81
3,2020-11-28,Notre Dame,70,Michigan State,80
4,2020-11-28,Abilene Christian,70,Omaha,58
5,2020-11-28,Army,78,Buffalo,74
6,2020-11-28,Belmont,73,Queens (NC),61
7,2020-11-28,Benedictine,63,Grand Canyon,94
8,2020-11-28,Bethesda University (CA),55,UC-Irvine,135
