,Date,Home,Away,Line
9,2020-12-15 17:30:00,Miami (OH),Buffalo,4
10,2020-12-15 18:00:00,Georgia Southern,Carver Bible College,
11,2020-12-15 18:00:00,Wofford,Coastal Carolina,-6
12,2020-12-15 18:00:00,Radford,Longwood,-4.5
13,2020-12-15 18:30:00,Virginia Tech,Clemson,-2
14,2020-12-15 19:00:00,VCU,Western Carolina,-14
15,2020-12-15 19:00:00,Utah,Utah Valley,-18.5
16,2020-12-15 19:00:00,Texas A&M,Southeastern Louisiana,-21.5
17,2020-12-15 19:00:00,Evansville,SE Missouri St.,-5
18,2020-12-15 19:00:00,Stetson,Florida Atlantic,4.5
19,2020-12-15 19:00:00,UNC Greensboro,South Carolina Upstate,-17.5
20,2020-12-15 19:00:00,Davidson,Charlotte,-11
21,2020-12-15 19:00:00,Illinois,Minnesota,-8.5
22,2020-12-15 19:00:00,Tulsa,Wichita St.,-1.5
23,2020-12-15 19:00:00,VMI,Campbellsville-Harrodsburg,
24,2020-12-15 19:00:00,Tennessee,Appalachian St.,-19
25,2020-12-15 19:00:00,UL Lafayette,New Orleans,-10.5
26,2020-12-15 19:00:00,Liberty,South Carolina State,-26.5
27,2020-12-15 19:00:00,Auburn,Texas Southern,-14.5
28,2020-12-15 19:00:00,Monmouth-NJ,Hofstra,2
29,2020-12-15 19:00:00,East Tennessee St.,Gardner-Webb,-5
30,2020-12-15 19:30:00,McNeese St.,Arlington Baptist College,
31,2020-12-15 19:30:00,Louisiana Tech,Jackson State,-15
32,2020-12-15 20:00:00,Texas State,Texas A&M-CC,-10.5
33,2020-12-15 20:00:00,Saint Louis,Indiana St.,-14.5
34,2020-12-15 20:00:00,Lamar,Southern Miss,-5
35,2020-12-15 20:00:00,Oral Roberts,Bacone,
36,2020-12-15 20:00:00,Lipscomb,Trevecca Nazarene,
37,2020-12-15 20:00:00,North Texas,Arkansas-Pine Bluff,-23
38,2020-12-15 20:00:00,Murray St.,Transylvania,
39,2020-12-15 20:00:00,Portland,College of Idaho,
40,2020-12-15 20:00:00,Wisconsin,Loyola-Chicago,-9
41,2020-12-15 20:30:00,Austin Peay,Florida A&M,-13
42,2020-12-15 20:30:00,Florida State,Georgia Tech,-8
43,2020-12-15 21:00:00,Alabama,Furman,-6
44,2020-12-15 21:00:00,Iowa State,Kansas State,-7.5
45,2020-12-15 21:00:00,Santa Clara,Fresno Pacific,
46,2020-12-15 22:00:00,Saint Mary's,Eastern Washington,-9
47,2020-12-15 24:59:59,North Carolina Central,Charleston Southern,
48,2020-12-15 17:00:00,Kentucky,Detroit Mercy,
49,2020-12-15 19:00:00,Bryant,Merrimack,
50,2020-12-15 19:00:00,Miami (OH),Bellarmine,
51,2020-12-15 19:00:00,St. Francis (PA),Fairleigh Dickinson,-4
52,2020-12-15 19:30:00,Little Rock,Texas A&M-Texarkana,
53,2020-12-15 20:00:00,Xavier,Seton Hall,
0,2020-12-16 12:00:00,La Salle,Massachusetts,4.5
1,2020-12-16 13:00:00,Vanderbilt,Richmond,7
2,2020-12-16 13:00:00,Central Conn. St.,St. Francis (BKN),3.5
3,2020-12-16 15:00:00,Elon University,Campbell,-4
4,2020-12-16 15:00:00,Syracuse,Northeastern,-17.5
5,2020-12-16 16:00:00,Bryant,Wagner,-10.5
6,2020-12-16 16:00:00,Sacred Heart,LIU,3
7,2020-12-16 17:00:00,Colorado,Nebraska Omaha,-22
8,2020-12-16 17:00:00,Oregon St.,Texas-San Antonio,-8
9,2020-12-16 18:00:00,Hampton,William & Mary,2.5
10,2020-12-16 18:00:00,Georgia St.,Mercer,-4.5
11,2020-12-16 18:00:00,Cal Poly SLO,San Diego,7
12,2020-12-16 18:00:00,Marshall,Toledo,-7.5
13,2020-12-16 18:00:00,Miami-Florida,Pittsburgh,4.5
14,2020-12-16 19:00:00,South Alabama,Flagler College,
15,2020-12-16 19:00:00,Purdue,Ohio St.,-7
16,2020-12-16 19:00:00,Cincinnati,South Florida,-8.5
17,2020-12-16 19:00:00,Troy,Samford,2.5
18,2020-12-16 19:00:00,Oklahoma State,Texas Christian,-5
19,2020-12-16 19:00:00,Chattanooga,UNC Asheville,-5.5
20,2020-12-16 19:00:00,Villanova,Butler,-12.5
21,2020-12-16 19:00:00,UL Monroe,Grambling State,-7
22,2020-12-16 19:00:00,Mississippi State,Central Arkansas,-17
23,2020-12-16 19:00:00,Florida Gulf Coast,Florida International,1
24,2020-12-16 19:00:00,Liberty,Carver Bible College,
25,2020-12-16 19:30:00,UAB,Southern,-14.5
26,2020-12-16 19:30:00,Belmont,Kennesaw St.,-24.5
27,2020-12-16 20:00:00,Texas,Sam Houston St.,-29
28,2020-12-16 20:00:00,Middle Tennessee St.,Mississippi,13
29,2020-12-16 20:00:00,Southern Methodist,East Carolina,-11.5
30,2020-12-16 20:00:00,Abilene Christian,Hardin-Simmons,
31,2020-12-16 20:00:00,Missouri St.,William Jewell,
32,2020-12-16 20:00:00,Oklahoma,Oral Roberts,-16.5
33,2020-12-16 20:00:00,Pepperdine,Concordia (CA),
34,2020-12-16 20:30:00,Jacksonville St.,Tennessee Tech,-7
35,2020-12-16 21:00:00,Denver,Northern Colorado,6.5
36,2020-12-16 21:00:00,Tulane,Memphis,10
37,2020-12-16 21:00:00,Notre Dame,Duke,2
38,2020-12-16 21:00:00,Arizona State,Texas-El Paso,-13
39,2020-12-16 23:00:00,Washington,Montana,-6.5
40,2020-12-16 12:05:00,Wake Forest,Virginia,
41,2020-12-16 16:00:00,St. Francis (PA),Fairleigh Dickinson,
42,2020-12-16 16:00:00,Mount St. Mary's,Wagner,
43,2020-12-16 17:00:00,Towson,La Salle,
44,2020-12-16 19:00:00,Louisville,NC State,
45,2020-12-16 19:00:00,South Dakota,Drake,5.5
46,2020-12-16 19:00:00,Florida,North Florida,-25
47,2020-12-16 20:00:00,Tarleton State,Sul Ross St.,
48,2020-12-16 21:00:00,Louisiana State,New Orleans,-26.5
0,2020-12-17 19:00:00,Providence,Connecticut,
1,2020-12-17 14:00:00,Southern Illinois,North Dakota,-7.5
2,2020-12-17 16:00:00,Bryant,Wagner,-6
3,2020-12-17 16:00:00,Sacred Heart,LIU,6
4,2020-12-17 16:30:00,New Mexico,Le Tourneau,
5,2020-12-17 18:00:00,Drexel,Saint Joseph's,-1.5
6,2020-12-17 18:00:00,Coastal Carolina,Delaware State,-22
7,2020-12-17 18:00:00,Appalachian St.,Greensboro,
8,2020-12-17 18:30:00,Valparaiso,Purdue Northwest,
9,2020-12-17 19:00:00,East Tennessee St.,Columbia International,
10,2020-12-17 19:00:00,Nebraska,Doane,
11,2020-12-17 19:00:00,St. John's,Creighton,7
12,2020-12-17 19:00:00,Texas Tech,Kansas,-3
13,2020-12-17 19:00:00,Eastern Kentucky,Campbellsville-Harrodsburg,
14,2020-12-17 19:00:00,North Alabama,Crowley's Ridge College,
15,2020-12-17 20:00:00,North Texas,Houston Baptist,-23.5
16,2020-12-17 20:00:00,Bradley,Jackson State,-18
17,2020-12-17 20:00:00,Saint Louis,NC State,-5
18,2020-12-17 20:00:00,Oregon,San Francisco,-7.5
19,2020-12-17 21:00:00,Seattle,College of Idaho,
20,2020-12-17 21:00:00,Southern Utah,Dixie State,-8
21,2020-12-17 21:00:00,Marquette,Seton Hall,-3
22,2020-12-17 21:00:00,Idaho State,SAGU American Indian College,
23,2020-12-17 21:00:00,Wyoming,Nebraska Omaha,-12
24,2020-12-17 21:00:00,Loyola Marymount,UC Irvine,-4.5
25,2020-12-17 19:00:00,Charleston Southern,Columbia International,
26,2020-12-17 19:00:00,Liberty,Regent University,
27,2020-12-17 20:00:00,Tarleton State,Howard Payne,
0,2020-12-18 12:00:00,Gardner-Webb,VMI,-5
1,2020-12-18 14:00:00,Georgia St.,Carver Bible College,
2,2020-12-18 14:00:00,Western Michigan,Central Michigan,-1
3,2020-12-18 15:00:00,North Carolina A&T,Greensboro,
4,2020-12-18 16:00:00,Niagara,Fairfield,-4.5
5,2020-12-18 16:00:00,Norfolk State,UNC Wilmington,1.5
6,2020-12-18 16:00:00,Appalachian St.,Columbia International,
7,2020-12-18 16:00:00,Southern Illinois,North Dakota,-7
8,2020-12-18 17:00:00,San Diego St.,Brigham Young,-6.5
9,2020-12-18 17:00:00,Howard,Hampton,1.5
10,2020-12-18 17:00:00,Monmouth-NJ,Saint Peter's,1
11,2020-12-18 18:00:00,Morehead St.,SIU Edwardsville,-5
12,2020-12-18 18:00:00,Presbyterian,South Carolina State,-9.5
13,2020-12-18 18:00:00,Coastal Carolina,Alice Lloyd,
14,2020-12-18 18:00:00,South Dakota,Drake,6.5
15,2020-12-18 18:00:00,Loyola-Chicago,Richmond,1
16,2020-12-18 18:00:00,Robert Morris,Bowling Green,
17,2020-12-18 18:00:00,Montana,Dickinson State,
18,2020-12-18 19:00:00,Wichita St.,Emporia State,
19,2020-12-18 19:00:00,Florida Gulf Coast,Webber International,
20,2020-12-18 19:00:00,Tennessee St.,Belmont,8
21,2020-12-18 19:00:00,Charleston,Western Carolina,-3
22,2020-12-18 19:00:00,Tennessee,Tennessee Tech,-30
23,2020-12-18 19:00:00,Tulsa,Northwestern St.,-16.5
24,2020-12-18 19:00:00,Rhode Island,Davidson,-2
25,2020-12-18 19:00:00,Northern Illinois,Chicago St.,-17.5
26,2020-12-18 19:00:00,Rider,Iona,1.5
27,2020-12-18 19:00:00,Georgia Tech,Florida A&M,-22.5
28,2020-12-18 19:30:00,SE Missouri St.,Tenn-Martin,-5.5
29,2020-12-18 19:30:00,Little Rock,Champion Christian,
30,2020-12-18 21:00:00,Utah,Idaho,-24
31,2020-12-18 21:00:00,Washington St.,Montana St.,-4
32,2020-12-18 21:00:00,Idaho State,SAGU American Indian College,
33,2020-12-18 21:00:00,West Virginia,Iowa State,-15
34,2020-12-18 22:00:00,Nevada,Air Force,-11
35,2020-12-18 22:05:00,Portland St.,Weber St.,1
36,2020-12-18 24:59:59,Quinnipiac,Manhattan,
37,2020-12-18 14:00:00,DePaul,Xavier,
38,2020-12-18 17:00:00,Siena,Canisius,
0,2020-12-19 11:30:00,Indiana,Butler,-7.5
1,2020-12-19 12:00:00,Wisconsin,Louisville,-8.5
2,2020-12-19 12:00:00,Gonzaga,Iowa,-4.5
3,2020-12-19 12:00:00,Auburn,Troy,-18
4,2020-12-19 12:30:00,Longwood,The Citadel,-3.5
5,2020-12-19 13:00:00,Elon University,UNC Greensboro,7.5
6,2020-12-19 13:00:00,East Carolina,James Madison,-11
7,2020-12-19 13:00:00,Indiana St.,Ball St.,-3
8,2020-12-19 13:00:00,Kansas City,Kansas Christian,
9,2020-12-19 14:00:00,Morgan St.,West Virginia Tech,
10,2020-12-19 14:00:00,Kentucky,North Carolina,2.5
11,2020-12-19 14:00:00,Akron,Malone,
12,2020-12-19 14:00:00,Denver,Texas State,7
13,2020-12-19 14:00:00,Binghamton,Stony Brook,5
14,2020-12-19 14:00:00,Louisiana Tech,Lamar,-13.5
15,2020-12-19 14:00:00,Hartford,Maine,-11
16,2020-12-19 14:00:00,Toledo,Valparaiso,-6
17,2020-12-19 14:00:00,Green Bay,Milwaukee,1.5
18,2020-12-19 14:00:00,Northern Kentucky,Youngstown St.,-2
19,2020-12-19 14:00:00,Detroit Mercy,Wright St.,4.5
20,2020-12-19 14:00:00,William & Mary,High Point,-6
21,2020-12-19 14:00:00,Manhattan,Marist,-3.5
22,2020-12-19 14:00:00,St. Bonaventure,Hofstra,-10.5
23,2020-12-19 14:00:00,Alabama,Western Kentucky,-4.5
24,2020-12-19 14:00:00,Tulane,Grambling State,-10.5
25,2020-12-19 14:00:00,Fairleigh Dickinson,Drexel,6.5
26,2020-12-19 14:30:00,Notre Dame,Purdue,4.5
27,2020-12-19 14:30:00,Dayton,Mississippi,2.5
28,2020-12-19 15:00:00,Southern Miss,UL Monroe,-2.5
29,2020-12-19 15:00:00,Texas A&M-CC,Our Lady of the Lake,
30,2020-12-19 15:00:00,UAB,Chattanooga,-10.5
31,2020-12-19 15:00:00,Alabama A&M,South Alabama,9.5
32,2020-12-19 15:00:00,Sam Houston St.,Rice,-1.5
33,2020-12-19 15:00:00,Oregon,Portland,
34,2020-12-19 15:30:00,Miami-Florida,Jacksonville,-16
35,2020-12-19 16:00:00,NC State,Campbell,-20.5
36,2020-12-19 16:00:00,Winthrop,Furman,2.5
37,2020-12-19 16:00:00,Niagara,Fairfield,-5
38,2020-12-19 16:00:00,Charlotte,North Carolina A&T,-12.5
39,2020-12-19 16:00:00,Kansas State,Baylor,16.5
40,2020-12-19 16:00:00,Albany,UMBC,4.5
41,2020-12-19 16:00:00,East Tennessee St.,Lee University Flames,
42,2020-12-19 16:30:00,Kennesaw St.,Samford,8
43,2020-12-19 16:30:00,La Salle,Delaware,-3.5
44,2020-12-19 16:30:00,Temple,NJIT,-10
45,2020-12-19 16:56:00,Ohio St.,UCLA,2
46,2020-12-19 17:00:00,California,CSU Northridge,-11
47,2020-12-19 17:00:00,North Florida,Flagler College,
48,2020-12-19 17:00:00,Monmouth-NJ,Saint Peter's,2
49,2020-12-19 17:00:00,Oklahoma,Houston Baptist,-33.5
50,2020-12-19 17:30:00,Virginia Tech,Coppin St.,-27
51,2020-12-19 18:00:00,Syracuse,Buffalo,-10.5
52,2020-12-19 18:00:00,Pepperdine,UC Santa Barbara,-3.5
53,2020-12-19 18:00:00,Stetson,Carver Bible College,
54,2020-12-19 18:00:00,Kansas City,Kansas Christian,
55,2020-12-19 18:05:00,Northern Arizona,Eastern Washington,10
56,2020-12-19 19:00:00,Florida International,Georgia Southern,-4.5
57,2020-12-19 19:00:00,Fresno St.,Fresno Pacific,
58,2020-12-19 19:00:00,Rider,Iona,4
59,2020-12-19 19:00:00,Illinois-Chicago,Oakland,-5.5
60,2020-12-19 19:00:00,Stanford,Arizona,-2
61,2020-12-19 19:00:00,UC Irvine,San Diego,-4
62,2020-12-19 19:00:00,CSU Bakersfield,St. Katherine,
63,2020-12-19 19:00:00,Purdue Fort Wayne,Cleveland St.,-2
64,2020-12-19 20:00:00,Tennessee St.,Crowley's Ridge College,
65,2020-12-19 20:00:00,Vanderbilt,Radford,-12.5
66,2020-12-19 20:00:00,Bradley,Miami (OH),-12
67,2020-12-19 20:00:00,Saint Mary's,Colorado St.,-6
68,2020-12-19 20:00:00,Georgia,Cincinnati,2.5
69,2020-12-19 20:00:00,Missouri St.,Northwestern St.,-10.5
70,2020-12-19 20:00:00,UL Lafayette,McNeese St.,-10
71,2020-12-19 21:00:00,Florida State,Central Florida,-15
72,2020-12-19 21:00:00,Loyola Marymount,Cal Poly SLO,-15
73,2020-12-19 21:00:00,Villanova,Saint Joseph's,-21.5
74,2020-12-19 21:00:00,Dixie State,Bethesda,
75,2020-12-19 12:00:00,South Carolina,Clemson,
76,2020-12-19 24:59:59,Quinnipiac,Manhattan,
77,2020-12-19 24:59:59,Siena,Canisius,
78,2020-12-19 24:59:59,Massachusetts Lowell,Vermont,
79,2020-12-19 12:00:00,Florida,Florida Atlantic,
80,2020-12-19 12:00:00,Louisiana State,North Texas,
81,2020-12-19 13:00:00,Fordham,Central Conn. St.,
82,2020-12-19 13:00:00,Liberty,Virginia-Wise,
83,2020-12-19 14:00:00,Kent St.,Akron,
84,2020-12-19 14:00:00,Towson,Morgan St.,
85,2020-12-19 14:00:00,Richmond,Duquesne,
86,2020-12-19 17:00:00,Tarleton State,McMurry,
0,2020-12-20 14:00:00,Marshall,Robert Morris,-15.5
1,2020-12-20 12:00:00,Connecticut,Creighton,4
2,2020-12-20 13:00:00,Iowa State,Jackson State,-20
3,2020-12-20 13:00:00,Rutgers,Illinois,1.5
4,2020-12-20 13:00:00,Central Michigan,Olivet College,
5,2020-12-20 14:00:00,Xavier,Marquette,-2.5
6,2020-12-20 14:00:00,Old Dominion,Northeastern,-6
7,2020-12-20 14:00:00,Manhattan,Marist,-2.5
8,2020-12-20 14:00:00,Arkansas,Oral Roberts,-20
9,2020-12-20 14:00:00,Green Bay,Milwaukee,-1
10,2020-12-20 14:00:00,Detroit Mercy,Wright St.,6
11,2020-12-20 14:00:00,Binghamton,Stony Brook,5.5
12,2020-12-20 14:00:00,Albany,UMBC,2.5
13,2020-12-20 14:00:00,Hartford,Maine,-9
14,2020-12-20 14:00:00,Texas,Oklahoma State,-6.5
15,2020-12-20 15:00:00,Drake,Chicago St.,-31.5
16,2020-12-20 15:00:00,Northern Kentucky,Youngstown St.,-4
17,2020-12-20 15:00:00,North Alabama,Freed-Hardeman,
18,2020-12-20 15:05:00,Portland St.,Weber St.,4.5
19,2020-12-20 16:00:00,Arkansas St.,Champion Christian,
20,2020-12-20 16:00:00,Texas-San Antonio,Our Lady of the Lake,
21,2020-12-20 16:00:00,Houston,Alcorn St.,-34
22,2020-12-20 16:30:00,Seton Hall,Providence,-3.5
23,2020-12-20 17:00:00,Illinois-Chicago,Oakland,-3
24,2020-12-20 17:00:00,Purdue Fort Wayne,Cleveland St.,-1
25,2020-12-20 18:00:00,Texas-El Paso,Benedictine University (AZ),
26,2020-12-20 18:00:00,Tenn-Martin,Western Illinois,-4.5
27,2020-12-20 18:00:00,Nevada,Air Force,-11.5
28,2020-12-20 18:00:00,Georgia Tech,Delaware State,-31
29,2020-12-20 18:30:00,St. John's,Georgetown,-4.5
30,2020-12-20 19:00:00,San Francisco,Grand Canyon,5.5
31,2020-12-20 19:00:00,Northwestern,Michigan St,7.5
32,2020-12-20 19:00:00,Georgia Southern,Carver Bible College,
33,2020-12-20 20:30:00,Minnesota,Saint Louis,2
34,2020-12-20 22:00:00,Colorado,Washington,9
35,2020-12-20 24:59:59,Massachusetts Lowell,Vermont,
36,2020-12-20 15:00:00,Oregon St.,Southern California,
37,2020-12-20 16:00:00,Wyoming,UNLV,
0,2020-12-21 12:00:00,Clemson,Morehead St.,-24.5
1,2020-12-21 13:00:00,Texas A&M,Wofford,-6.5
2,2020-12-21 13:00:00,Campbell,UNC Wilmington,3
3,2020-12-21 13:00:00,George Mason,VMI,-8
4,2020-12-21 14:00:00,Lipscomb,Crowley's Ridge College,
5,2020-12-21 14:00:00,Kansas State,Jacksonville,-12.5
6,2020-12-21 14:00:00,Southern Utah,Bethesda,
7,2020-12-21 15:00:00,Northern Arizona,Texas State,9
8,2020-12-21 15:00:00,Rice,New Orleans,-7.5
9,2020-12-21 16:00:00,Massachusetts,Bryant,-9
10,2020-12-21 16:00:00,Furman,South Carolina State,-32.5
11,2020-12-21 17:00:00,Massachusetts Lowell,Vermont,10
12,2020-12-21 17:30:00,Florida Atlantic,Florida College,
13,2020-12-21 18:00:00,Tennessee,Saint Joseph's,-22.5
14,2020-12-21 19:00:00,Texas Rio Grande Valley,Sam Houston St.,-5
15,2020-12-21 19:00:00,Charleston Southern,Hampton,-4.5
16,2020-12-21 19:00:00,Evansville,Belmont,9.5
17,2020-12-21 19:00:00,Florida State,Gardner-Webb,-21
18,2020-12-21 19:00:00,Georgia St.,Charleston,-10.5
19,2020-12-21 19:00:00,Washington St.,Prairie View A&M,-12.5
20,2020-12-21 19:00:00,North Florida,Edward Waters,
21,2020-12-21 19:00:00,Wagner,Sacred Heart,-6.5
22,2020-12-21 19:00:00,Delaware,Morgan St.,-6.5
23,2020-12-21 19:00:00,Florida International,Carver Bible College,
24,2020-12-21 19:30:00,Butler,Southern Illinois,-9.5
25,2020-12-21 20:00:00,Mississippi State,Mississippi Valley State,-37
26,2020-12-21 20:00:00,Memphis,Tulsa,-9.5
27,2020-12-21 20:00:00,Virginia Tech,Longwood,-24
28,2020-12-21 20:00:00,Missouri St.,Little Rock,1.5
29,2020-12-21 20:00:00,Samford,Belhaven College,
30,2020-12-21 20:00:00,Baylor,Arkansas-Pine Bluff,-43
31,2020-12-21 21:00:00,Austin Peay,Murray St.,2.5
32,2020-12-21 21:00:00,Brigham Young,Texas Southern,-18
33,2020-12-21 21:00:00,Gonzaga,Northwestern St.,-42.5
34,2020-12-21 21:00:00,Utah St.,San Jose St.,-19
35,2020-12-21 21:00:00,Stanford,CSU Bakersfield,-14.5
36,2020-12-21 21:30:00,Boise St.,New Mexico,-10
37,2020-12-21 15:00:00,Rice,Incarnate Word,
38,2020-12-21 18:00:00,SIU Edwardsville,Eastern Illinois,3.5
0,2020-12-22 12:00:00,Boston College,Maine,-23.5
1,2020-12-22 13:00:00,Loyola-Chicago,St. Francis (IL),
2,2020-12-22 13:00:00,Liberty,Alcorn St.,-25.5
3,2020-12-22 13:00:00,Indiana St.,SE Missouri St.,-12
4,2020-12-22 14:00:00,Denver,Northern Arizona,-3.5
5,2020-12-22 14:00:00,Richmond,Hofstra,-12
6,2020-12-22 14:00:00,Kennesaw St.,Mercer,14
7,2020-12-22 14:00:00,North Texas,LSU-Alexandria,
8,2020-12-22 14:00:00,Virginia,William & Mary,-23.5
9,2020-12-22 14:00:00,Western Michigan,Ball St.,4.5
10,2020-12-22 14:00:00,George Washington,Charlotte,2.5
11,2020-12-22 14:00:00,Toledo,Northern Illinois,-12.5
12,2020-12-22 14:00:00,Akron,Ohio,1.5
13,2020-12-22 15:00:00,Massachusetts Lowell,Vermont,9
14,2020-12-22 15:00:00,Fairfield,Fairleigh Dickinson,-1
15,2020-12-22 15:00:00,Portland,Montana St.,3.5
16,2020-12-22 15:00:00,Albany,Niagara,-3
17,2020-12-22 15:00:00,Texas A&M-CC,Paul Quinn,
18,2020-12-22 15:00:00,Auburn,Appalachian St.,-14
19,2020-12-22 15:00:00,Tennessee St.,Chattanooga,4.5
20,2020-12-22 15:00:00,The Citadel,Presbyterian,-6
21,2020-12-22 15:30:00,East Carolina,Tulane,-5
22,2020-12-22 16:00:00,Wagner,Sacred Heart,-7
23,2020-12-22 16:00:00,Central Florida,Cincinnati,2.5
24,2020-12-22 16:00:00,Santa Clara,Colorado St.,
25,2020-12-22 16:00:00,VCU,James Madison,-20
26,2020-12-22 16:00:00,Northern Colorado,Idaho State,-10
27,2020-12-22 17:00:00,Arkansas,Abilene Christian,-12
28,2020-12-22 17:00:00,Mississippi,Tenn-Martin,-27.5
29,2020-12-22 17:00:00,California,Seattle,-12
30,2020-12-22 18:00:00,Marshall,UNC Asheville,-13.5
31,2020-12-22 18:00:00,Charleston Southern,Hampton,-4
32,2020-12-22 18:00:00,North Carolina A&T,UNC Greensboro,13
33,2020-12-22 19:00:00,Texas-Arlington,Howard Payne,
34,2020-12-22 19:00:00,Florida Gulf Coast,Georgia Southern,2
35,2020-12-22 19:00:00,Maryland,La Salle,-16.5
36,2020-12-22 19:00:00,NC State,North Carolina,2.5
37,2020-12-22 19:00:00,Eastern Kentucky,High Point,-6.5
38,2020-12-22 19:00:00,Pittsburgh,Louisville,6
39,2020-12-22 19:00:00,Western Kentucky,Tennessee Tech,-19.5
40,2020-12-22 19:00:00,Missouri,Bradley,-10.5
41,2020-12-22 19:00:00,Texas-San Antonio,Lamar,-7
42,2020-12-22 19:00:00,Old Dominion,Virginia Wesleyan,
43,2020-12-22 19:00:00,Oklahoma,Texas Tech,2.5
44,2020-12-22 19:00:00,Georgia,Northeastern,-9.5
45,2020-12-22 19:00:00,Davidson,Vanderbilt,-6.5
46,2020-12-22 19:00:00,Wisconsin,Nebraska,-16
47,2020-12-22 19:00:00,Arizona,Montana,-14.5
48,2020-12-22 19:00:00,South Florida,Wichita St.,-1
49,2020-12-22 19:00:00,Drake,North Dakota,-15.5
50,2020-12-22 19:30:00,UL Monroe,Louisiana Tech,10.5
51,2020-12-22 19:30:00,Alabama,East Tennessee St.,-14
52,2020-12-22 20:00:00,Houston,Temple,-16.5
53,2020-12-22 21:00:00,Iowa,Purdue,-7
54,2020-12-22 21:00:00,San Diego St.,Saint Mary's,-3
55,2020-12-22 21:00:00,Gonzaga,Northwestern St.,-39
56,2020-12-22 21:00:00,Oregon St.,Portland St.,-12.5
57,2020-12-22 21:00:00,UC San Diego,St. Katherine,
58,2020-12-22 21:00:00,Texas Christian,North Dakota State,-12
59,2020-12-22 21:00:00,Kansas,West Virginia,-2
60,2020-12-22 23:00:00,Grand Canyon,Colorado,10.5
61,2020-12-22 24:59:59,Boise St.,Loyola Marymount,
62,2020-12-22 19:00:00,Syracuse,Notre Dame,
63,2020-12-22 19:00:00,Florida,James Madison,
64,2020-12-22 21:00:00,Wyoming,UNLV,
65,2020-12-22 21:00:00,Arizona State,Utah,
0,2020-12-23 12:00:00,UNC Wilmington,Delaware State,-20.5
1,2020-12-23 12:00:00,Notre Dame,Bellarmine,-14
2,2020-12-23 14:00:00,St. Francis (BKN),Saint Peter's,8
3,2020-12-23 14:00:00,Rider,NJIT,1
4,2020-12-23 15:00:00,Creighton,Xavier,-7
5,2020-12-23 16:00:00,George Mason,Towson,-5
6,2020-12-23 16:00:00,Grambling State,Southeastern Louisiana,-2.5
7,2020-12-23 16:00:00,Northern Colorado,Idaho State,-9
8,2020-12-23 16:30:00,Ohio St.,Rutgers,-3.5
9,2020-12-23 17:00:00,Washington St.,Northwestern St.,-18.5
10,2020-12-23 17:00:00,Seton Hall,Georgetown,-9.5
11,2020-12-23 17:00:00,Tennessee,South Carolina Upstate,-34.5
12,2020-12-23 18:00:00,Pepperdine,CSU Bakersfield,-6.5
13,2020-12-23 18:00:00,Butler,Providence,2
14,2020-12-23 18:30:00,Penn St.,Illinois,4
15,2020-12-23 19:00:00,Marquette,Villanova,5.5
16,2020-12-23 19:00:00,Brigham Young,Weber St.,-13
17,2020-12-23 19:00:00,UC San Diego,St. Katherine,
18,2020-12-23 19:00:00,Iona,Coppin St.,-13
19,2020-12-23 19:00:00,Tulsa,SW Christian University,
20,2020-12-23 20:00:00,Saint Louis,Kansas City,-23
21,2020-12-23 20:30:00,Indiana,Northwestern,-9
22,2020-12-23 21:00:00,Utah St.,San Jose St.,-22.5
23,2020-12-23 21:00:00,DePaul,Western Illinois,-17
24,2020-12-23 22:00:00,Boise St.,New Mexico,-11
25,2020-12-23 15:00:00,Air Force,Utah Valley,
26,2020-12-23 17:00:00,Oregon,UCLA,-3
0,2020-12-25 12:30:00,Michigan St,Wisconsin,-2.5
1,2020-12-25 14:30:00,Purdue,Maryland,-6
2,2020-12-25 18:00:00,Nebraska,Michigan,7.5
3,2020-12-25 20:00:00,Minnesota,Iowa,6.5
0,2020-12-26 13:00:00,Cleveland St.,Youngstown St.,2
1,2020-12-26 13:00:00,Louisville,Kentucky,-3.5
2,2020-12-26 13:00:00,Central Florida,Houston,7.5
3,2020-12-26 14:00:00,Towson,Coppin St.,-11
4,2020-12-26 14:00:00,Northwestern,Ohio St.,2.5
5,2020-12-26 14:00:00,Louisiana State,Nicholls State,-21
6,2020-12-26 16:00:00,Wright St.,Green Bay,-15
7,2020-12-26 16:00:00,Illinois,Indiana,-6.5
8,2020-12-26 16:00:00,George Mason,Norfolk State,-10
9,2020-12-26 16:00:00,Virginia,Gonzaga,7.5
10,2020-12-26 16:00:00,Detroit Mercy,Oakland,-3.5
11,2020-12-26 19:00:00,Purdue Fort Wayne,Robert Morris,-2.5
0,2020-12-27 13:00:00,New Hampshire,Hartford,-2.5
1,2020-12-27 13:00:00,UMBC,Binghamton,-14.5
2,2020-12-27 13:00:00,Cleveland St.,Youngstown St.,-1
3,2020-12-27 13:00:00,Indiana St.,Drake,3
4,2020-12-27 14:00:00,Eastern Michigan,Olivet College,
5,2020-12-27 14:00:00,Monmouth-NJ,Canisius,-5
6,2020-12-27 14:00:00,Stony Brook,Massachusetts Lowell,-1.5
7,2020-12-27 14:00:00,Wright St.,Green Bay,-15.5
8,2020-12-27 15:00:00,Vermont,NJIT,-10
9,2020-12-27 15:00:00,Jacksonville St.,Carver Bible College,
10,2020-12-27 16:00:00,Vanderbilt,Alcorn St.,-23.5
11,2020-12-27 16:00:00,Detroit Mercy,Oakland,-3
12,2020-12-27 16:00:00,Loyola-Chicago,Illinois St.,-15.5
