,Date,Home,Away,Line
100,2020-11-25 22:00:00,Nicholls State,UC Davis,3
101,2020-11-25 22:00:00,Wisconsin,Eastern Illinois,-21.5
102,2020-11-25 22:00:00,Marquette,Arkansas-Pine Bluff,-31.5
103,2020-11-25 22:05:00,Sacramento State,Bethesda,
104,2020-11-25 22:30:00,San Diego St.,UCLA,3
105,2020-11-25 23:00:00,Washington St.,Texas Southern,-10.5
106,2020-11-25 23:00:00,Portland,Seattle,-3
107,2020-11-25 24:59:59,Robert Morris,Point Park,
108,2020-11-25 13:00:00,Penn St.,Drexel,-14
109,2020-11-25 20:00:00,Oklahoma,Texas-San Antonio,-18.5
110,2020-11-25 20:00:00,Duke,Gardner-Webb,
111,2020-11-25 21:00:00,Oregon,Eastern Washington,
0,2020-11-26 11:00:00,Middle Tennessee St.,Nebraska Omaha,-2
1,2020-11-26 12:00:00,Xavier,Bradley,-10
2,2020-11-26 12:00:00,Illinois,Chicago St.,-42.5
3,2020-11-26 12:00:00,Memphis,Western Kentucky,-4
4,2020-11-26 13:30:00,Gonzaga,Kansas,-4
5,2020-11-26 14:00:00,St. John's,La Salle,-8
6,2020-11-26 14:00:00,Nebraska,Nevada,-5
7,2020-11-26 14:00:00,Austin Peay,East Tennessee St.,-9
8,2020-11-26 14:30:00,West Virginia,VCU,-10.5
9,2020-11-26 15:00:00,North Carolina A&T,Ohio,13.5
10,2020-11-26 15:00:00,Oakland,Toledo,11
11,2020-11-26 15:30:00,San Francisco,Towson,-8
12,2020-11-26 16:00:00,Southern,North Carolina Central,-2
13,2020-11-26 16:30:00,Saint Joseph's,Auburn,7
14,2020-11-26 17:00:00,Saint Mary's,Northern Iowa,2.5
15,2020-11-26 17:00:00,Howard,Belmont,14.5
16,2020-11-26 18:00:00,Mississippi State,Liberty,-4.5
17,2020-11-26 18:00:00,California,Northwest University,
18,2020-11-26 19:00:00,Louisiana State,SIU Edwardsville,-29.5
19,2020-11-26 19:00:00,Rhode Island,Boston College,0
20,2020-11-26 19:30:00,South Dakota State,Utah St.,2.5
21,2020-11-26 20:00:00,George Mason,Queens University of Charlotte,
22,2020-11-26 20:00:00,North Texas,Mississippi Valley State,-38
23,2020-11-26 20:30:00,Clemson,Purdue,2
24,2020-11-26 21:00:00,Brigham Young,New Orleans,-22
25,2020-11-26 21:00:00,Arizona State,Villanova,6
0,2020-11-27 17:30:00,NC State,North Florida,-21
1,2020-11-27 11:00:00,Auburn,Gonzaga,18
2,2020-11-27 11:00:00,East Tennessee St.,Middle Tennessee St.,-1.5
3,2020-11-27 11:30:00,San Francisco,Virginia,15.5
4,2020-11-27 12:00:00,Xavier,Toledo,-9
5,2020-11-27 12:00:00,James Madison,Norfolk State,-4.5
6,2020-11-27 13:00:00,Jacksonville St.,Florida Atlantic,2.5
7,2020-11-27 13:00:00,Western Carolina,Troy,-9
8,2020-11-27 13:00:00,Illinois,Ohio,-15.5
9,2020-11-27 13:00:00,Prairie View A&M,Evansville,-2.5
10,2020-11-27 13:00:00,Oregon St.,Northwest University,
11,2020-11-27 13:30:00,West Virginia,Western Kentucky,-5.5
12,2020-11-27 14:00:00,Belmont,George Mason,-2.5
13,2020-11-27 14:00:00,Austin Peay,Abilene Christian,-2.5
14,2020-11-27 14:00:00,Army,Central Conn. St.,-7.5
15,2020-11-27 14:00:00,Florida International,Flagler College,
16,2020-11-27 14:00:00,Drake,South Dakota,-10
17,2020-11-27 14:00:00,Eastern Kentucky,Charleston Southern,-7.5
18,2020-11-27 14:00:00,Saint Joseph's,Kansas,20
19,2020-11-27 14:00:00,Incarnate Word,Rice,4.5
20,2020-11-27 14:00:00,Tulane,Lamar,-10
