Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Feb 23 2020,Minnesota,,Northwestern,,,
Sun Feb 23 2020,Maryland,,Ohio State,,,
Sun Feb 23 2020,Rutgers,,Wisconsin,,,
Mon Feb 24 2020,Nebraska,,Illinois,,,
Tue Feb 25 2020,Iowa,,Michigan State,,,
Wed Feb 26 2020,Maryland,,Minnesota,,,
Wed Feb 26 2020,Rutgers,,Penn State,,,
Thu Feb 27 2020,Wisconsin,,Michigan,,,
Thu Feb 27 2020,Ohio State,,Nebraska,,,
Thu Feb 27 2020,Illinois,,Northwestern,,,
Thu Feb 27 2020,Indiana,,Purdue,,,
Sat Feb 29 2020,Penn State,,Iowa,,,
Sat Feb 29 2020,Michigan State,,Maryland,,,
Sun Mar 1 2020,Indiana,,Illinois,,,
Sun Mar 1 2020,Northwestern,,Nebraska,,,
Sun Mar 1 2020,Michigan,,Ohio State,,,
Sun Mar 1 2020,Minnesota,,Wisconsin,,,
Tue Mar 3 2020,Purdue,,Iowa,,,
Tue Mar 3 2020,Michigan State,,Penn State,,,
Tue Mar 3 2020,Maryland,,Rutgers,,,
Wed Mar 4 2020,Minnesota,,Indiana,,,
Wed Mar 4 2020,Northwestern,,Wisconsin,,,
Thu Mar 5 2020,Nebraska,,Michigan,,,
Thu Mar 5 2020,Illinois,,Ohio State,,,
Sat Mar 7 2020,Wisconsin,,Indiana,,,
Sat Mar 7 2020,Penn State,,Northwestern,,,
Sat Mar 7 2020,Rutgers,,Purdue,,,
Sun Mar 8 2020,Iowa,,Illinois,,,
Sun Mar 8 2020,Michigan,,Maryland,,,
Sun Mar 8 2020,Ohio State,,Michigan State,,,
Sun Mar 8 2020,Nebraska,,Minnesota,,,
