,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
217,North Carolina,24,10,14,.417,8.50,8.92,3,10,5,7,2,6,1713,1723,,980,622,1516,.410,127,443,.287,340,519,.655,340,1041,347,146,91,315,411
218,North Dakota State,25,18,7,.720,1.28,-3.68,9,2,10,1,7,5,1849,1641,,1000,631,1400,.451,225,647,.348,362,459,.789,191,878,304,120,62,261,389
219,North Dakota,25,11,14,.440,-6.29,-1.11,5,6,7,2,3,11,1880,1845,,1000,651,1412,.461,202,579,.349,376,487,.772,220,910,331,115,56,354,430
220,North Florida,26,16,10,.615,-1.09,-2.68,9,2,9,1,6,8,2016,1894,,1040,693,1556,.445,307,808,.380,323,424,.762,265,926,397,129,94,334,425
221,North Texas,25,16,9,.640,7.21,1.64,10,2,10,2,6,5,1788,1583,,1000,637,1321,.482,217,551,.394,297,400,.743,219,807,315,166,64,344,439
222,Northeastern,24,11,13,.458,1.53,-3.51,5,7,4,5,6,6,1736,1615,,965,628,1326,.474,207,532,.389,273,339,.805,172,745,313,189,41,299,417
223,Northern Arizona,22,13,9,.591,-4.11,-2.51,7,6,7,3,5,6,1602,1524,,885,577,1270,.454,169,446,.379,279,395,.706,210,754,295,152,52,267,370
224,Northern Colorado,23,15,8,.652,4.15,-2.43,8,4,9,2,4,5,1695,1446,,930,605,1350,.448,237,648,.366,248,363,.683,209,804,301,125,57,239,346
225,Northern Illinois,25,15,10,.600,-0.82,-2.07,8,4,9,3,6,7,1662,1584,,1000,603,1464,.412,181,537,.337,275,410,.671,294,979,253,141,61,303,436
226,Northern Iowa,24,21,3,.875,11.54,2.04,10,2,13,0,7,2,1848,1558,,970,655,1351,.485,230,574,.401,308,402,.766,219,894,290,112,53,303,351
