,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
308,Texas-Arlington,25,10,15,.400,2.55,2.59,6,8,5,5,5,9,1750,1700,,1000,620,1490,.416,197,634,.311,313,409,.765,251,914,368,140,70,285,438
309,Texas Christian,24,13,11,.542,8.71,8.40,4,7,11,4,1,6,1577,1549,,970,576,1371,.420,200,596,.336,225,361,.623,282,852,352,175,117,346,394
310,Texas-El Paso,25,13,12,.520,-1.19,0.04,4,8,11,2,1,9,1676,1646,,1005,580,1353,.429,153,535,.286,363,477,.761,195,852,308,148,77,351,438
311,Texas-Rio Grande Valley,23,9,14,.391,-7.29,-3.44,5,5,7,3,2,9,1649,1606,,930,590,1366,.432,143,419,.341,326,466,.700,251,752,333,192,90,291,464
312,Texas-San Antonio,25,11,14,.440,-2.95,0.32,5,7,8,3,3,7,1974,1946,,1015,697,1608,.433,248,690,.359,332,441,.753,267,964,327,149,71,326,512
313,Texas Southern,23,10,13,.435,-9.58,-2.03,7,3,6,1,4,12,1612,1740,,930,564,1391,.405,115,414,.278,369,534,.691,272,877,267,139,64,371,448
314,Texas State,25,15,10,.600,4.33,-0.80,8,6,10,3,5,7,1814,1586,,1000,637,1404,.454,138,401,.344,402,526,.764,237,835,340,164,68,279,459
315,Texas Tech,24,16,8,.667,17.76,7.01,7,4,12,2,2,4,1765,1507,,975,610,1343,.454,173,486,.356,372,496,.750,220,827,377,188,99,326,415
316,Texas,24,14,10,.583,10.07,8.73,4,7,9,5,3,4,1551,1519,,960,588,1372,.429,194,587,.330,181,274,.661,231,789,303,128,110,324,433
317,Toledo,25,12,13,.480,1.43,-1.40,4,8,7,5,5,8,1884,1757,,1005,634,1442,.440,232,623,.372,384,525,.731,264,955,368,144,84,311,406
318,Towson,25,14,11,.560,-0.34,-1.42,8,5,7,4,5,4,1776,1681,,1010,617,1425,.433,167,485,.344,375,488,.768,269,913,277,149,76,301,468
319,Troy,25,9,16,.360,-7.90,-1.46,5,9,6,6,3,10,1737,1807,,1010,619,1531,.404,214,658,.325,285,421,.677,298,929,363,138,72,359,462
320,Tulane,23,10,13,.435,-0.25,1.58,2,9,6,4,2,5,1570,1612,,925,540,1303,.414,188,539,.349,302,431,.701,188,700,265,190,53,269,338
321,Tulsa,23,15,8,.652,7.66,2.49,7,3,11,2,4,5,1610,1491,,940,571,1270,.450,131,412,.318,337,473,.712,211,814,303,177,57,306,359
322,UCLA,24,13,11,.542,7.53,7.05,6,5,9,4,3,4,1665,1628,,965,585,1340,.437,138,433,.319,357,503,.710,290,889,311,164,79,321,462
323,Utah State,27,20,7,.741,13.53,4.53,9,5,13,1,3,5,2070,1732,,1095,715,1576,.454,193,599,.322,447,577,.775,294,1086,445,168,87,327,436
324,Utah Valley,24,9,15,.375,-8.29,-4.10,3,6,4,6,5,9,1670,1695,,970,594,1381,.430,159,533,.298,323,458,.705,215,870,314,140,134,347,428
325,Utah,23,14,9,.609,9.47,6.51,5,6,10,1,1,6,1665,1597,,930,574,1281,.448,165,501,.329,352,475,.741,222,848,327,126,66,308,355
326,Valparaiso,25,12,13,.480,0.37,1.20,5,7,8,2,3,8,1811,1804,,1010,657,1520,.432,200,622,.322,297,418,.711,255,854,375,208,84,330,446
327,Vanderbilt,24,9,15,.375,2.90,4.94,1,10,9,8,0,6,1735,1784,,970,581,1350,.430,202,612,.330,371,544,.682,218,788,285,169,88,307,454
328,Vermont,25,19,6,.760,5.84,-3.83,9,1,8,2,10,3,1763,1482,,1000,627,1423,.441,198,608,.326,311,429,.725,249,926,340,149,83,299,420
329,Villanova,23,17,6,.739,15.71,9.14,7,4,10,2,4,3,1692,1541,,925,594,1355,.438,217,614,.353,287,369,.778,214,821,336,137,67,245,350
330,Virginia Commonwealth,23,17,6,.739,12.69,3.30,7,3,13,1,4,3,1675,1459,,920,587,1340,.438,179,503,.356,322,449,.717,229,787,314,220,106,291,416
331,VMI,25,7,18,.280,-7.39,-3.12,2,10,5,7,1,10,1809,1743,,1020,646,1502,.430,267,748,.357,250,354,.706,261,887,409,175,59,314,429
332,Virginia Tech,24,14,10,.583,9.04,3.88,5,8,10,4,3,4,1681,1557,,975,603,1398,.431,235,659,.357,240,347,.692,192,835,361,142,66,236,342
333,Virginia,23,16,7,.696,11.42,6.55,8,5,11,3,3,4,1299,1187,,935,476,1174,.405,127,444,.286,220,314,.701,201,805,259,127,102,283,311
334,Wagner,22,5,17,.227,-13.97,-4.02,2,9,3,7,2,10,1515,1694,,890,532,1298,.410,160,498,.321,291,404,.720,245,767,290,124,52,313,482
335,Wake Forest,24,11,13,.458,7.35,7.56,4,10,7,4,1,8,1727,1732,,970,575,1364,.422,156,464,.336,421,560,.752,258,923,302,122,66,348,454
336,Washington State,24,14,10,.583,5.64,2.85,5,6,11,3,1,5,1691,1624,,965,598,1477,.405,184,577,.319,311,429,.725,257,867,286,162,60,280,407
337,Washington,24,12,12,.500,12.14,7.14,2,9,9,5,1,5,1692,1572,,970,586,1311,.447,166,495,.335,354,503,.704,208,843,303,173,151,361,409
338,Weber State,24,10,14,.417,-7.43,0.23,6,7,7,4,3,6,1695,1689,,970,623,1357,.459,171,505,.339,278,398,.698,171,759,275,134,92,286,341
339,West Virginia,23,18,5,.783,20.32,9.19,6,4,12,0,3,5,1674,1418,,920,591,1369,.432,125,412,.303,367,571,.643,349,953,291,184,84,337,440
340,Western Carolina,23,15,8,.652,-0.32,-1.51,7,5,8,3,7,5,1814,1704,,930,627,1341,.468,231,618,.374,329,472,.697,231,880,329,120,40,335,399
341,Western Illinois,21,5,16,.238,-13.29,-2.87,2,9,4,8,1,8,1560,1680,,845,576,1342,.429,176,478,.368,232,294,.789,169,710,224,112,49,229,366
342,Western Kentucky,24,16,8,.667,4.37,0.76,9,3,11,1,3,5,1825,1699,,970,626,1356,.462,164,493,.333,409,520,.787,199,807,271,154,102,299,322
343,Western Michigan,24,11,13,.458,-5.48,-0.35,4,7,8,3,3,8,1699,1743,,975,577,1344,.429,169,514,.329,376,527,.713,202,833,264,120,52,297,436
344,Wichita State,23,17,6,.739,12.91,5.08,5,5,13,2,3,3,1664,1484,,930,571,1417,.403,170,538,.316,352,510,.690,290,895,318,171,80,290,433
345,William & Mary,26,16,10,.615,-3.02,-2.82,8,5,8,2,8,7,1842,1787,,1040,671,1459,.460,196,572,.343,304,406,.749,225,945,353,114,97,341,404
346,Winthrop,26,18,8,.692,2.67,-4.96,12,1,10,3,8,5,2091,1820,,1055,746,1627,.459,242,704,.344,357,563,.634,348,1059,419,178,62,363,522
347,Wisconsin,24,14,10,.583,14.62,10.53,7,6,11,1,3,6,1578,1480,,965,559,1331,.420,195,586,.333,265,350,.757,203,815,287,116,91,247,372
348,Wofford,25,16,9,.640,0.40,-2.73,8,4,10,2,6,7,1835,1694,,1010,657,1415,.464,243,680,.357,278,388,.716,195,771,336,150,66,290,421
349,Wright State,26,21,5,.808,3.04,-6.50,11,2,12,2,7,2,2128,1843,,1050,763,1661,.459,205,553,.371,397,590,.673,327,1056,375,168,95,315,417
350,Wyoming,25,6,19,.240,-5.26,3.91,1,12,4,11,2,6,1505,1711,,1015,522,1278,.408,175,585,.299,286,400,.715,124,735,263,125,51,328,460
351,Xavier,24,16,8,.667,12.49,8.03,5,6,11,3,3,4,1712,1605,,985,627,1453,.432,156,509,.306,302,462,.654,292,959,348,142,90,327,420
352,Yale,22,17,5,.773,8.22,-1.28,5,1,8,1,7,4,1693,1396,,910,594,1254,.474,201,530,.379,304,434,.700,186,858,370,135,78,287,326
353,Youngstown State,25,14,11,.560,-6.09,-4.79,7,5,11,3,3,8,1825,1781,,1015,662,1569,.422,174,579,.301,327,485,.674,347,998,317,150,66,298,432
